bet_id,bet_date,pitcher,strike,side,result,production_pnl,production_size,feasibility,trust_level,decision_off,decision_full,critic_verdict,critic_status,critic_concerns
6968,2026-04-24,Drew Rasmussen,7,YES,loss,-4.55,18.00,dead,low,skip,skip,skip,ok,generic_concern
6969,2026-04-24,Framber Valdez,7,NO,win,2.17,7.00,strong,high,fire,fire,proceed,ok,
6970,2026-04-24,Brayan Bello,6,NO,void,0.00,7.00,strong,high,fire,fire,proceed,ok,
6971,2026-04-24,Grant Holmes,6,NO,void,0.00,7.00,strong,high,fire,fire,proceed,ok,
6972,2026-04-24,Noah Cameron,6,NO,void,0.00,7.00,strong,high,fire,fire,proceed,ok,
6973,2026-04-24,Freddy Peralta,8,NO,loss,-4.69,7.00,strong,high,fire,fire,proceed,ok,
6974,2026-04-24,Framber Valdez,8,NO,void,0.00,5.00,strong,high,fire,fire,proceed,ok,
6976,2026-04-24,Freddy Peralta,9,NO,void,0.00,5.00,strong,high,fire,fire,proceed,ok,
6977,2026-04-24,Paul Skenes,6,NO,void,0.00,27.00,strong,high,skip,skip,proceed,ok,
6978,2026-04-24,Andrew Abbott,5,NO,void,0.00,18.00,strong,high,fire,fire,proceed,ok,
6979,2026-04-24,Brandon Woodruff,6,NO,win,15.86,26.00,strong,high,skip,skip,proceed,ok,
6980,2026-04-24,Paul Skenes,7,NO,void,0.00,15.00,strong,high,fire,fire,proceed,ok,
6981,2026-04-24,Michael Lorenzen,4,NO,void,0.00,19.00,strong,high,skip,skip,proceed,ok,
6982,2026-04-24,Max Scherzer,4,NO,void,0.00,17.00,strong,high,skip,skip,proceed,ok,
6983,2026-04-24,Freddy Peralta,7,NO,void,0.00,15.00,strong,high,fire,fire,proceed,ok,
6984,2026-04-24,Framber Valdez,6,NO,void,0.00,14.00,strong,high,fire,fire,proceed,ok,
6985,2026-04-24,Brandon Woodruff,7,NO,win,4.59,12.00,strong,high,fire,fire,proceed,ok,
6986,2026-04-24,Paul Skenes,8,NO,void,0.00,10.00,strong,high,fire,fire,proceed,ok,
6987,2026-04-24,Michael Lorenzen,5,NO,void,0.00,10.00,strong,high,fire,fire,proceed,ok,
6988,2026-04-24,Gavin Williams,6,YES,loss,-5.49,12.00,strong,high,fire,fire,proceed,ok,
6989,2026-04-24,Andrew Abbott,6,NO,win,2.00,8.00,strong,high,fire,fire,proceed,ok,
6990,2026-04-24,Framber Valdez,5,NO,win,10.88,17.00,viable,high,skip,skip,proceed,ok,
6991,2026-04-24,Brandon Woodruff,8,NO,void,0.00,9.00,strong,high,fire,fire,proceed,ok,
6992,2026-04-24,Brayan Bello,4,NO,win,9.65,16.00,viable,medium,fire,fire,proceed,ok,
6993,2026-04-24,Brayan Bello,5,NO,void,0.00,11.00,strong,high,fire,fire,proceed,ok,
6994,2026-04-24,Gavin Williams,7,YES,loss,-5.20,16.00,viable,high,fire,fire,proceed,ok,
6995,2026-04-24,Noah Cameron,5,NO,void,0.00,12.00,strong,high,skip,skip,proceed,ok,
6996,2026-04-24,Gavin Williams,8,YES,loss,-4.62,23.00,dead,low,skip,skip,proceed,ok,
6997,2026-04-24,Michael Lorenzen,6,NO,void,0.00,7.00,strong,high,fire,fire,proceed,ok,
6998,2026-04-24,Grant Holmes,5,NO,win,6.05,11.00,strong,high,skip,skip,proceed,ok,
7000,2026-04-24,Max Scherzer,5,NO,win,2.38,7.00,strong,high,fire,fire,proceed,ok,
7001,2026-04-24,Freddy Peralta,4,NO,loss,-5.17,54.00,dead,low,skip,skip,proceed,ok,
7002,2026-04-24,Drew Rasmussen,7,YES,loss,-0.78,16.00,dead,low,skip,skip,skip,ok,generic_concern
7003,2026-04-24,Framber Valdez,7,NO,win,1.86,6.00,strong,high,fire,fire,proceed,ok,
7004,2026-04-24,Brayan Bello,6,NO,void,0.00,6.00,strong,high,fire,fire,proceed,ok,
7005,2026-04-24,Grant Holmes,6,NO,void,0.00,6.00,strong,high,fire,fire,proceed,ok,
7006,2026-04-24,Noah Cameron,6,NO,void,0.00,6.00,strong,high,fire,fire,proceed,ok,
7007,2026-04-24,Freddy Peralta,8,NO,loss,-4.02,6.00,strong,high,fire,fire,proceed,ok,
7008,2026-04-24,Framber Valdez,8,NO,void,0.00,5.00,strong,high,fire,fire,proceed,ok,
7010,2026-04-24,Freddy Peralta,9,NO,void,0.00,5.00,strong,high,fire,fire,proceed,ok,
7026,2026-04-25,Jeffrey Springs,6,YES,loss,-17.09,41.00,viable,high,fire,fire,proceed,ok,
7027,2026-04-25,Walbert Urena,4,YES,loss,-7.88,33.00,viable,low,size_down,size_down,proceed,ok,generic_concern
7028,2026-04-25,Cole Ragans,7,NO,loss,-16.88,61.00,strong,high,fire,fire,proceed,ok,
7030,2026-04-25,Brady Singer,5,NO,win,14.77,69.00,strong,high,fire,fire,proceed,ok,
7031,2026-04-25,Walbert Urena,3,YES,win,2.07,14.00,viable,low,size_down,size_down,proceed,ok,generic_concern
7033,2026-04-25,Garrett Crochet,7,NO,loss,-167.51,30.00,strong,high,skip,skip,proceed,ok,
7034,2026-04-25,Garrett Crochet,8,NO,win,64.64,22.00,strong,high,fire,fire,proceed,ok,
7035,2026-04-25,Matthew Liberatore,5,NO,win,7.65,19.00,strong,high,fire,fire,proceed,ok,
7036,2026-04-25,Ryan Weathers,8,YES,loss,-9.22,58.00,dead,low,skip,skip,skip,ok,generic_concern
7037,2026-04-25,Joey Cantillo,5,NO,win,10.83,22.00,fragile,medium,skip,skip,proceed,ok,generic_concern
7038,2026-04-25,Ryan Weathers,7,YES,loss,-8.83,29.00,viable,high,fire,skip,skip,ok,generic_concern
7039,2026-04-25,Kevin Gausman,7,YES,loss,-8.53,28.00,dead,low,skip,skip,skip,ok,generic_concern
7040,2026-04-25,Ryan Weathers,6,YES,loss,-8.24,18.00,strong,high,fire,skip,skip,ok,generic_concern
7041,2026-04-25,Mitch Keller,5,NO,loss,-9.86,18.00,strong,high,skip,skip,proceed,ok,
7042,2026-04-25,Kevin Gausman,8,YES,loss,-8.10,45.00,dead,low,skip,skip,skip,ok,generic_concern
7043,2026-04-25,Kevin Gausman,6,YES,loss,-7.48,16.00,viable,high,skip,skip,skip,ok,generic_concern
7044,2026-04-25,Germán Márquez,4,YES,loss,-7.56,24.00,viable,medium,fire,fire,proceed,ok,
7045,2026-04-25,Jeffrey Springs,8,YES,loss,-7.52,59.00,dead,low,skip,skip,proceed,ok,
7046,2026-04-25,Walbert Urena,7,YES,loss,-3.79,89.00,fragile,low,size_down,size_down,proceed,ok,generic_concern
7047,2026-04-25,Bryce Elder,6,YES,loss,-7.48,23.00,viable,high,fire,fire,proceed,ok,
7048,2026-04-25,Jack Flaherty,6,NO,win,7.88,16.00,dead,low,skip,skip,skip,ok,generic_concern
7049,2026-04-25,Jeffrey Springs,6,YES,loss,-5.42,13.00,viable,high,fire,fire,proceed,ok,
7050,2026-04-25,Walbert Urena,4,YES,loss,-2.63,11.00,viable,low,size_down,size_down,proceed,ok,generic_concern
7051,2026-04-25,Cole Ragans,7,NO,loss,-5.28,32.00,strong,high,fire,fire,proceed,ok,
7053,2026-04-25,Brady Singer,5,NO,win,4.92,34.00,strong,high,fire,fire,proceed,ok,
7054,2026-04-25,Walbert Urena,3,YES,win,0.74,5.00,viable,low,size_down,size_down,proceed,ok,generic_concern
7056,2026-04-25,Garrett Crochet,7,NO,loss,-4.09,10.00,strong,high,skip,skip,proceed,ok,
7057,2026-04-25,Garrett Crochet,8,NO,win,3.16,7.00,strong,high,fire,fire,proceed,ok,
7058,2026-04-25,Matthew Liberatore,5,NO,win,2.41,6.00,strong,high,fire,fire,proceed,ok,
7059,2026-04-25,Ryan Weathers,8,YES,loss,-3.02,19.00,dead,low,skip,skip,skip,ok,generic_concern
7060,2026-04-25,Joey Cantillo,5,NO,win,3.44,7.00,fragile,medium,skip,skip,proceed,ok,generic_concern
7061,2026-04-25,Ryan Weathers,7,YES,loss,-2.74,9.00,viable,high,fire,skip,skip,ok,generic_concern
7062,2026-04-25,Kevin Gausman,7,YES,loss,-2.74,9.00,dead,low,skip,skip,skip,ok,generic_concern
7063,2026-04-25,Ryan Weathers,6,YES,loss,-2.75,6.00,strong,high,fire,skip,skip,ok,generic_concern
7064,2026-04-25,Mitch Keller,5,NO,loss,-3.29,20.00,strong,high,skip,skip,proceed,ok,
7065,2026-04-25,Kevin Gausman,8,YES,loss,-2.55,15.00,dead,low,skip,skip,skip,ok,generic_concern
7066,2026-04-25,Kevin Gausman,6,YES,loss,-2.34,5.00,viable,high,skip,skip,skip,ok,generic_concern
7067,2026-04-25,Germán Márquez,4,YES,loss,-2.52,8.00,viable,medium,fire,fire,proceed,ok,
7068,2026-04-25,Jeffrey Springs,8,YES,loss,-2.23,19.00,dead,low,skip,skip,proceed,ok,
7069,2026-04-25,Walbert Urena,7,YES,loss,-1.09,29.00,fragile,low,size_down,size_down,proceed,ok,generic_concern
7070,2026-04-25,Bryce Elder,6,YES,loss,-2.28,7.00,viable,high,fire,fire,proceed,ok,
7071,2026-04-25,Jack Flaherty,6,NO,win,2.46,5.00,dead,low,skip,skip,skip,ok,generic_concern
7080,2026-04-25,Cole Ragans,5,NO,loss,-40.53,136.00,fragile,medium,skip,skip,proceed,ok,
7081,2026-04-25,Cole Ragans,6,NO,loss,-39.71,88.00,strong,high,skip,skip,proceed,ok,
7084,2026-04-25,Cole Ragans,8,NO,loss,-25.99,37.00,strong,high,fire,fire,proceed,ok,
7085,2026-04-25,Cole Ragans,5,NO,loss,-20.07,70.00,fragile,medium,skip,skip,proceed,ok,
7086,2026-04-25,Cole Ragans,6,NO,loss,-20.50,46.00,strong,high,skip,skip,proceed,ok,
7089,2026-04-25,Cole Ragans,8,NO,loss,-13.30,19.00,strong,high,fire,fire,proceed,ok,
7090,2026-04-25,Brady Singer,6,NO,win,4.72,16.00,strong,high,fire,fire,proceed,ok,
7095,2026-04-25,Jeffrey Springs,7,YES,loss,-16.63,75.00,dead,low,skip,skip,proceed,ok,
7483,2026-04-26,Keider Montero,5,YES,win,38.67,77.00,dead,low,skip,skip,skip,ok,generic_concern
7484,2026-04-26,Keider Montero,5,YES,win,13.56,27.00,dead,low,skip,skip,skip,ok,generic_concern
7485,2026-04-26,Aaron Nola,5,YES,win,12.49,31.00,strong,high,fire,fire,proceed,ok,
7486,2026-04-26,Aaron Nola,6,YES,win,22.16,38.00,strong,high,fire,fire,proceed,ok,
7487,2026-04-26,Aaron Nola,8,YES,loss,-11.58,78.00,dead,low,skip,skip,proceed,ok,
7488,2026-04-26,Aaron Nola,5,YES,win,4.43,11.00,strong,high,fire,fire,proceed,ok,
7489,2026-04-26,Aaron Nola,6,YES,win,7.58,13.00,strong,high,fire,fire,proceed,ok,
7490,2026-04-26,Aaron Nola,8,YES,loss,-4.01,27.00,dead,low,skip,skip,proceed,ok,
7491,2026-04-26,Slade Cecconi,4,YES,win,14.37,31.00,strong,high,fire,fire,proceed,ok,
7492,2026-04-26,Slade Cecconi,5,YES,win,27.48,42.00,dead,low,skip,skip,proceed,ok,
7493,2026-04-26,Slade Cecconi,6,YES,loss,-10.85,57.00,dead,low,skip,skip,proceed,ok,
7494,2026-04-26,Slade Cecconi,4,YES,win,5.28,11.00,strong,high,fire,fire,proceed,ok,
7495,2026-04-26,Slade Cecconi,5,YES,win,9.16,14.00,dead,low,skip,skip,proceed,ok,
7496,2026-04-26,Slade Cecconi,6,YES,loss,-3.81,20.00,dead,low,skip,skip,proceed,ok,
7497,2026-04-26,Spencer Arrighetti,6,YES,win,24.66,52.00,strong,high,fire,fire,proceed,ok,
7498,2026-04-26,Spencer Arrighetti,7,YES,win,42.37,68.00,viable,medium,fire,fire,proceed,ok,
7499,2026-04-26,Spencer Arrighetti,8,YES,win,76.08,101.00,dead,low,skip,skip,proceed,ok,
7500,2026-04-26,Spencer Arrighetti,6,YES,win,8.54,18.00,strong,high,fire,fire,proceed,ok,
7501,2026-04-26,Spencer Arrighetti,7,YES,win,14.33,23.00,viable,medium,fire,fire,proceed,ok,
7502,2026-04-26,Spencer Arrighetti,8,YES,win,26.37,35.00,dead,low,skip,skip,proceed,ok,
7503,2026-04-26,Kumar Rocker,5,YES,loss,-11.04,24.00,strong,high,fire,fire,proceed,ok,
7504,2026-04-26,Kumar Rocker,6,YES,loss,-10.26,38.00,dead,low,skip,skip,proceed,ok,
7505,2026-04-26,Kumar Rocker,7,YES,loss,-8.40,60.00,dead,low,skip,skip,proceed,ok,
7506,2026-04-26,Kumar Rocker,5,YES,loss,-3.68,8.00,strong,high,fire,fire,proceed,ok,
7507,2026-04-26,Kumar Rocker,6,YES,loss,-3.51,13.00,dead,low,skip,skip,proceed,ok,
7508,2026-04-26,Kumar Rocker,7,YES,loss,-2.94,21.00,dead,low,skip,skip,proceed,ok,
7509,2026-04-26,J.T. Ginn,5,YES,loss,-41.40,92.00,viable,medium,fire,fire,proceed,ok,
7510,2026-04-26,J.T. Ginn,5,YES,loss,-14.40,32.00,viable,medium,fire,fire,proceed,ok,
7511,2026-04-26,Kyle Harrison,6,NO,loss,-34.02,63.00,strong,high,skip,skip,proceed,ok,
7512,2026-04-26,Kyle Harrison,6,NO,loss,-11.88,22.00,strong,high,skip,skip,proceed,ok,
7513,2026-04-26,Carmen Mlodzinski,5,YES,loss,-14.28,28.00,strong,high,fire,size_down,concern,ok,news_pitcher_recent_struggle
7514,2026-04-26,Carmen Mlodzinski,6,YES,loss,-12.87,39.00,viable,medium,fire,size_down,concern,ok,news_pitcher_recent_struggle
7515,2026-04-26,Carmen Mlodzinski,7,YES,loss,-10.26,54.00,dead,low,skip,skip,concern,ok,news_pitcher_recent_struggle
7516,2026-04-26,Carmen Mlodzinski,5,YES,loss,-5.30,10.00,strong,high,fire,size_down,concern,ok,news_pitcher_recent_struggle
7517,2026-04-26,Carmen Mlodzinski,6,YES,loss,-4.29,13.00,viable,medium,fire,size_down,concern,ok,news_pitcher_recent_struggle
7518,2026-04-26,Carmen Mlodzinski,7,YES,loss,-3.61,19.00,dead,low,skip,skip,concern,ok,news_pitcher_recent_struggle
7519,2026-04-26,Kyle Bradish,8,YES,loss,-12.37,47.00,dead,low,skip,skip,skip,ok,generic_concern
7520,2026-04-26,Kyle Bradish,7,YES,loss,-11.96,28.00,viable,high,fire,skip,skip,ok,generic_concern
7521,2026-04-26,Kyle Bradish,9,YES,loss,-9.86,62.00,dead,low,skip,skip,skip,ok,generic_concern
7522,2026-04-26,Kyle Bradish,8,YES,loss,-9.48,36.00,dead,low,skip,skip,skip,ok,generic_concern
7523,2026-04-26,Kyle Bradish,7,YES,loss,-8.76,21.00,viable,high,fire,skip,skip,ok,generic_concern
7524,2026-04-26,Kyle Bradish,9,YES,loss,-7.47,47.00,dead,low,skip,skip,skip,ok,generic_concern
7525,2026-04-26,Connelly Early,6,YES,loss,-15.60,32.00,viable,high,fire,fire,proceed,ok,
7526,2026-04-26,Connelly Early,7,YES,loss,-13.65,42.00,dead,low,skip,skip,proceed,ok,
7527,2026-04-26,Connelly Early,8,YES,loss,-11.42,60.00,dead,low,skip,skip,proceed,ok,
7528,2026-04-26,Connelly Early,6,YES,loss,-11.70,24.00,viable,high,fire,fire,proceed,ok,
7529,2026-04-26,Connelly Early,7,YES,loss,-10.08,31.00,dead,low,skip,skip,proceed,ok,
7530,2026-04-26,Connelly Early,8,YES,loss,-8.63,46.00,dead,low,skip,skip,proceed,ok,
7531,2026-04-26,Ryne Nelson,4,YES,win,27.98,51.00,strong,high,fire,fire,proceed,ok,
7532,2026-04-26,Ryne Nelson,5,YES,loss,-17.16,78.00,dead,low,skip,skip,proceed,ok,
7533,2026-04-26,Ryne Nelson,6,YES,loss,-12.80,128.00,dead,low,skip,skip,proceed,ok,
7534,2026-04-26,Ryne Nelson,4,YES,win,20.85,38.00,strong,high,fire,fire,proceed,ok,
7535,2026-04-26,Ryne Nelson,5,YES,loss,-12.98,59.00,dead,low,skip,skip,proceed,ok,
7536,2026-04-26,Ryne Nelson,6,YES,loss,-9.70,97.00,dead,low,skip,skip,proceed,ok,
7537,2026-04-26,Michael King,4,YES,win,29.50,61.00,strong,high,fire,fire,proceed,ok,
7538,2026-04-26,Michael King,5,YES,win,44.86,72.00,strong,high,fire,fire,proceed,ok,
7539,2026-04-26,Michael King,6,YES,win,61.01,109.00,viable,high,fire,fire,proceed,ok,
7540,2026-04-26,Michael King,4,YES,win,22.25,46.00,strong,high,fire,fire,proceed,ok,
7541,2026-04-26,Michael King,5,YES,win,34.27,55.00,strong,high,fire,fire,proceed,ok,
7542,2026-04-26,Michael King,6,YES,win,61.01,82.00,viable,high,fire,fire,proceed,ok,
7543,2026-04-26,Max Meyer,5,YES,win,28.10,53.00,strong,high,fire,fire,proceed,ok,
7544,2026-04-26,Max Meyer,6,YES,loss,-18.48,66.00,viable,high,fire,fire,proceed,ok,
7545,2026-04-26,Max Meyer,7,YES,loss,-21.28,91.00,dead,low,skip,skip,proceed,ok,
7546,2026-04-26,Max Meyer,5,YES,win,21.20,40.00,strong,high,fire,fire,proceed,ok,
7547,2026-04-26,Max Meyer,6,YES,loss,-14.00,50.00,viable,high,fire,fire,proceed,ok,
7548,2026-04-26,Max Meyer,7,YES,loss,-12.42,69.00,dead,low,skip,skip,proceed,ok,
7551,2026-04-26,Shota Imanaga,6,YES,win,35.71,64.00,viable,high,fire,fire,proceed,ok,
7552,2026-04-26,Shota Imanaga,6,YES,win,26.78,48.00,viable,high,fire,fire,proceed,ok,
7553,2026-04-26,Aaron Nola,4,YES,void,0.00,100.00,strong,high,fire,fire,proceed,ok,
7554,2026-04-26,Aaron Nola,4,YES,void,0.00,100.00,strong,high,fire,fire,proceed,ok,
7555,2026-04-26,Justin Wrobleski,5,YES,win,51.56,84.00,dead,low,skip,skip,skip,ok,generic_concern
7556,2026-04-26,Justin Wrobleski,5,YES,win,0.00,64.00,dead,low,skip,skip,skip,ok,generic_concern
8466,2026-04-27,Parker Messick,5,YES,win,40.56,53.00,strong,high,fire,fire,proceed,ok,
8467,2026-04-27,Parker Messick,6,YES,win,74.15,66.00,strong,high,fire,fire,proceed,ok,
8468,2026-04-27,Parker Messick,5,YES,win,24.15,53.00,strong,high,fire,fire,proceed,ok,
8469,2026-04-27,Parker Messick,6,YES,win,40.51,66.00,strong,high,fire,fire,proceed,ok,
8474,2026-04-27,Luis Castillo,5,YES,loss,-51.15,58.00,viable,high,fire,fire,proceed,ok,
8475,2026-04-27,Luis Castillo,6,YES,loss,-40.80,76.00,fragile,medium,size_down,size_down,proceed,ok,
8476,2026-04-27,Luis Castillo,5,YES,loss,-29.07,57.00,viable,high,fire,fire,proceed,ok,
8477,2026-04-27,Luis Castillo,6,YES,loss,-27.00,75.00,fragile,medium,size_down,size_down,proceed,ok,
8488,2026-04-27,Anthony Kay,4,YES,loss,-37.70,40.00,strong,high,skip,skip,proceed,ok,
8489,2026-04-27,Anthony Kay,5,YES,loss,-31.54,52.00,fragile,low,size_down,size_down,proceed,ok,
8490,2026-04-27,Anthony Kay,4,YES,loss,-23.20,40.00,strong,high,skip,skip,proceed,ok,
8491,2026-04-27,Anthony Kay,5,YES,loss,-19.38,51.00,fragile,low,size_down,size_down,proceed,ok,
8492,2026-04-27,Jack Kochanowicz,3,YES,win,10.68,35.00,strong,high,fire,fire,proceed,ok,
8493,2026-04-27,Jack Kochanowicz,4,YES,win,21.15,45.00,strong,high,fire,fire,proceed,ok,
8494,2026-04-27,Jack Kochanowicz,5,YES,win,50.40,72.00,dead,low,skip,skip,proceed,ok,
8495,2026-04-27,Jack Kochanowicz,6,YES,loss,-3.84,99.00,dead,low,skip,skip,proceed,ok,
8496,2026-04-27,Jack Kochanowicz,3,YES,win,9.11,35.00,strong,high,fire,fire,proceed,ok,
8497,2026-04-27,Jack Kochanowicz,4,YES,void,0.00,42.00,strong,high,fire,fire,proceed,ok,
8498,2026-04-27,Jack Kochanowicz,5,YES,void,0.00,67.00,dead,low,skip,skip,proceed,ok,
8499,2026-04-27,Jack Kochanowicz,6,YES,void,0.00,93.00,dead,low,skip,skip,proceed,ok,
8500,2026-04-27,Jack Leiter,6,YES,loss,-58.30,53.00,strong,high,fire,fire,proceed,ok,
8501,2026-04-27,Jack Leiter,6,YES,loss,-29.15,53.00,strong,high,fire,fire,proceed,ok,
8502,2026-04-27,Max Fried,6,YES,loss,-9.12,52.00,viable,high,fire,fire,proceed,ok,
8503,2026-04-27,Max Fried,6,YES,loss,-29.07,51.00,viable,high,fire,fire,proceed,ok,
8504,2026-04-27,Matthew Boyd,5,YES,loss,-29.64,52.00,strong,high,fire,size_down,concern,ok,news_pitcher_health_concern
8507,2026-04-27,Randy Vásquez,5,YES,loss,-29.40,70.00,dead,low,skip,skip,skip,ok,generic_concern
8511,2026-04-27,Matthew Boyd,6,YES,loss,-26.91,69.00,viable,medium,fire,size_down,concern,ok,news_pitcher_health_concern
8512,2026-04-27,Chris Paddack,3,YES,loss,-26.18,32.00,strong,high,fire,fire,proceed,ok,
8516,2026-04-27,Chris Paddack,4,YES,loss,-19.84,32.00,strong,high,fire,fire,proceed,ok,
8518,2026-04-27,Chris Paddack,5,YES,loss,-18.00,45.00,viable,medium,fire,fire,proceed,ok,
8519,2026-04-27,Chris Paddack,6,YES,loss,-14.00,56.00,dead,low,skip,skip,proceed,ok,
8520,2026-04-27,Randy Vásquez,5,YES,loss,-29.40,70.00,dead,low,skip,skip,skip,ok,generic_concern
8523,2026-04-27,Matthew Boyd,5,YES,loss,-29.07,51.00,strong,high,fire,size_down,concern,ok,news_pitcher_health_concern
8527,2026-04-27,Matthew Boyd,6,YES,loss,-26.91,69.00,viable,medium,fire,size_down,concern,ok,news_pitcher_health_concern
8528,2026-04-27,Chris Paddack,3,YES,loss,-26.18,22.00,strong,high,fire,fire,proceed,ok,
8532,2026-04-27,Chris Paddack,4,YES,loss,-19.84,32.00,strong,high,fire,fire,proceed,ok,
8534,2026-04-27,Chris Paddack,5,YES,loss,-18.00,45.00,viable,medium,fire,fire,proceed,ok,
8535,2026-04-27,Chris Paddack,6,YES,void,0.00,56.00,dead,low,skip,skip,proceed,ok,
8536,2026-04-27,Dylan Cease,8,YES,loss,-25.85,55.00,strong,high,fire,fire,proceed,ok,
8537,2026-04-27,Dylan Cease,9,YES,loss,-25.84,68.00,fragile,medium,size_down,size_down,proceed,ok,
8538,2026-04-27,Dylan Cease,10,YES,loss,-24.25,97.00,dead,low,skip,skip,proceed,ok,
8539,2026-04-27,Dylan Cease,9,YES,loss,-17.10,45.00,fragile,medium,size_down,size_down,proceed,ok,
8540,2026-04-27,Dylan Cease,8,YES,loss,-16.92,36.00,strong,high,fire,fire,proceed,ok,
8541,2026-04-27,Dylan Cease,10,YES,loss,-16.00,64.00,dead,low,skip,skip,proceed,ok,
8874,2026-04-28,Nick Martinez,5,YES,loss,-0.62,117.00,dead,low,skip,skip,skip,ok,generic_concern
8875,2026-04-28,Nick Martinez,5,YES,loss,-14.88,77.00,dead,low,skip,skip,skip,ok,generic_concern
8876,2026-04-28,Payton Tolle,6,YES,loss,-37.31,91.00,viable,low,size_down,size_down,proceed,ok,
8877,2026-04-28,Payton Tolle,7,YES,loss,-35.19,153.00,viable,low,size_down,size_down,proceed,ok,
8878,2026-04-28,Casey Mize,6,YES,loss,-49.28,154.00,viable,high,fire,fire,proceed,ok,
8879,2026-04-28,Casey Mize,6,YES,void,0.00,108.00,viable,high,fire,fire,proceed,ok,
8880,2026-04-28,Kai-Wei Teng,4,YES,loss,-35.20,88.00,viable,low,size_down,size_down,proceed,ok,generic_concern
8881,2026-04-28,Kai-Wei Teng,6,YES,loss,-29.70,198.00,viable,low,size_down,size_down,proceed,ok,generic_concern
8882,2026-04-28,Kai-Wei Teng,4,YES,loss,-25.60,64.00,viable,low,size_down,size_down,proceed,ok,generic_concern
8883,2026-04-28,Kai-Wei Teng,6,YES,loss,-21.75,145.00,viable,low,size_down,size_down,proceed,ok,generic_concern
8884,2026-04-28,Chad Patrick,5,YES,win,9.23,85.00,dead,low,skip,skip,skip,ok,generic_concern
8885,2026-04-28,Chad Patrick,5,YES,void,0.00,62.00,dead,low,skip,skip,skip,ok,generic_concern
8886,2026-04-28,José Soriano,7,YES,loss,-54.00,135.00,viable,high,fire,fire,proceed,ok,
8887,2026-04-28,José Soriano,7,YES,loss,-39.60,99.00,viable,high,fire,fire,proceed,ok,
8888,2026-04-28,Cam Schlittler,7,YES,win,68.08,122.00,viable,high,fire,fire,proceed,ok,
8889,2026-04-28,Cam Schlittler,7,YES,win,50.22,90.00,viable,high,fire,fire,proceed,ok,
8890,2026-04-28,Merrill Kelly,6,YES,loss,-29.58,88.00,viable,medium,fire,fire,proceed,ok,
8891,2026-04-28,Merrill Kelly,6,YES,loss,0.00,120.00,viable,medium,fire,fire,proceed,ok,
8892,2026-04-28,Kris Bubic,7,YES,loss,-28.22,83.00,viable,high,fire,fire,proceed,ok,
8893,2026-04-28,Kris Bubic,7,YES,loss,-11.90,64.00,viable,high,fire,fire,proceed,ok,
8894,2026-04-28,Kris Bubic,8,YES,loss,0.00,107.00,dead,low,skip,skip,proceed,ok,
